id;название;страна;регион;длительность_дни;стоимость_руб_чел;мин_количество_человек;тип_группы;сезон;тип_проживания;наличие_гида;список_тегов
1;Романтический уикенд в Москве;Россия;Москва;2;70000;2;пара;лето, осень;отель;False;романтический, архитектура, релакс, шопинг, городской, история, экскурсии, культура, рестораны, парки, ночная жизнь, театры, музеи, кафе, пешие прогулки
2;Экскурсионный тур по Москве;Россия;Москва;4;70000;3;компания друзей, семья с детьми;лето, весна;отель;True;экскурсии, история, культура, архитектура, городской, музеи, театры, памятники, парки, Кремль, соборы, пешие прогулки, гид, групповой
3;Экстрим в Алтае: сплавы;Россия;Алтай;3;90000;2;компания друзей, пара;весна, лето;палатка, хостел;True;экстрим, активный отдых, природа, рафтинг, трекинг, горы, реки, кемпинг, лес, водопады, скалы, фотоохота, дикая природа, палатка, костер
4;Семейный отдых в Санкт-Петербурге;Россия;Санкт-Петербург;5;60000;2;семья с детьми, пара;лето, весна;отель, гостевой дом;True;семейный, релакс, природа, экскурсии, история, архитектура, музеи, парки, разводные мосты, каналы, детские программы, городской, кафе, гид, прогулки
5;Гастрономический в Санкт-Петербурге;Россия;Санкт-Петербург;3;80000;2;пара, компания друзей;осень;отель;True;гастрономия, вино, шопинг, культура, история, рестораны, дегустации, сыр, мастер-классы, рынки, пешие прогулки, архитектура, ночная жизнь, кафе, городской
6;Экскурсионный тур по Санкт-Петербургу;Россия;Санкт-Петербург;4;42000;3;пара, компания друзей;зима, весна;отель;True;экскурсии, история, культура, архитектура, музеи, эрмитаж, театры, каналы, памятники, городской, пешие прогулки, гид, зимние пейзажи, прогулки
7;Гастрономический тур по Карелии;Россия;Карелия;4;70000;2;пара, компания друзей, семья с детьми;осень, зима, лето, весна;отель, гостевой дом;True;гастрономия, культура, вино, природа, лес, озера, рыбалка, ягоды, грибы, мастер-классы, карельская кухня, экотропы, наблюдение животных, релакс, местные продукты
8;Релакс в Карелии;Россия;Карелия;7;80000;2;компания друзей, пара, семья с детьми;зима, весна, осень, лето;отель, гостевой дом;False;релакс, природа, спа, йога, лес, озера, сауна, рыбалка, пешие прогулки, экотропы, наблюдение птиц, кемпинг, тишина, красивые места, термальные источники
9;Поход в Карелии;Россия;Карелия;5;60000;4;компания друзей;лето, весна;палатка, глэмпинг;True;природа, активный отдых, экологичный, лес, трекинг, кемпинг, палатка, костер, озера, водопады, скалы, дикая природа, флора и фауна
10;Экстрим в Алтае: восхождения;Россия;Алтай;6;110000;1;семья с детьми, компания друзей, пара, соло;зима, лето;глэмпинг, палатка;True;экстрим, активный отдых, природа, горы, ледники, альпинизм, трекинг, скалолазание, перевалы, снежники, высокогорье, красивые места, кемпинг, выносливость, гид
11;Выходные на Алтае;Россия;Алтай;3;80000;1;пара, семья с детьми, компания друзей, соло;зима, лето;отель;True;архитектура, история, горы, релакс, экскурсии, природа, культура, местные ремесла, базары, пешие прогулки, национальная кухня, красивые места, водопады, долины, гид
12;Релакс на Алтай;Россия;Алтай;7;105000;1;пара, семья с детьми, компания друзей, соло;осень, лето, весна, зима;отель, гостевой дом;True;релакс, природа, спа, горы, сауна, йога, тишина, озера, лес, термальные источники, наблюдения за звездами, красивые места, пешие прогулки, медитация, здоровье
13;Экскурсионный тур по Байкалу;Россия;Байкал;4;85000;1;пара, семья с детьми, компания друзей, соло;лето;отель;True;экскурсии, история, культура, природа, озера, нерпы, пешие прогулки, Кругобайкальская железная дорога , листвянка, ольхон, красивые места, этнография, бурятская кухня, гид
14;Экстрим в Байкал;Россия;Байкал;3;110000;2;пара, компания друзей;лето, зима;палатка, глэмпинг;True;экстрим, активный отдых, природа, зимние виды спорта, лед, подледный дайвинг, коньки, хайкинг, ледяные пещеры, снегоходы, красивые места, кемпинг, холод, выживание, гид
15;Семейный отдых в Байкал;Россия;Байкал;5;100000;3;семья с детьми;весна, зима, лето;отель, гостевой дом;False;семейный, релакс, природа, озера, песчаные пляжи, детские игры, пикники, лес, наблюдение нерп, красивые места, спокойный отдых, экотропы, прогулки, прогулки
16;Поход на Кавказ;Россия;Кавказ;5;90000;3;компания друзей, семья с детьми;весна, лето;палатка, глэмпинг;True;природа, активный отдых, экологичный, горы, трекинг, водопады, ущелья, альпийские луга, кемпинг, дикая природа, палатка, костер, наблюдение орлов, красивые места
17;Выходные на Кавказе;Россия;Кавказ;3;80000;1;соло, компания друзей, семья с детьми, пара;весна, зима;отель;True;история, природа, горы, экскурсии, культура, архитектура, аулы, базары, кавказская кухня, дегустация вин, минеральные источники, пешие прогулки, гид, красивые места
18;Релакс на Кавказе;Россия;Кавказ;7;80000;1;соло, компания друзей, пара, семья с детьми;лето, весна;отель, гостевой дом;False;релакс, природа, спа, горы, трекинг, йога, минеральные воды, термальные источники, санаторий, пешие прогулки, тишина, красивые места, здоровье
19;Гастрономический Кавказ;Россия;Кавказ;4;70000;1;компания друзей, семья с детьми, соло, пара;осень, лето, весна, зима;отель, гостевой дом, глэмпинг;True;гастрономия, культура, вино, горы, сыр, хинкали, шашлык, дегустации, кулинарные мастер классы, рынки, винные погреба, экскурсии, история, красивые места, гостеприимство
20;Гастрономический Крым;Россия;Крым;5;83000;1;пара, семья с детьми, компания друзей, соло;весна, лето;отель;True;природа, активный отдых, экологичный, гастрономия, вино, сыр, морепродукты, дегустации, виноградники, пешие прогулки, горы, пляж, история, экскурсии, гид
21;Выходные в Крыму;Россия;Крым;3;50000;1;компания друзей, семья с детьми, соло, пара;лето;отель, гостевой дом;True;архитектура, история, городской, море, пляж, экскурсии, пещеры, дворцы, парки, набережная, красивые места, дегустация вин, ласточкино гнездо, гид
22;Семейный отдых по Золотому кольцу;Россия;Золотое кольцо;4;75000;3;семья с детьми;весна;отель, гостевой дом;False;семейный, релакс, природа, история, архитектура, церкви, монастыри, ремесленные мастерские, народные промыслы, парки, прогулки, музеи, Кремль, красивые места
23;Романтический уикенд по Золотому кольцу;Россия;Золотое кольцо;3;65000;2;пара;зима, лето;отель, глэмпинг;False;романтический, архитектура, релакс, история, старые города, церкви, уютные кафе, закаты, красивые места, прогулки, деревянное зодчество, музеи, прогулки
24;Выходные по Золотому кольцу;Россия;Золотое кольцо;3;60000;1;соло, компания друзей;осень;отель;True;архитектура, история, городской, монастыри, Кремль, народные промыслы, музеи, экскурсии, пешие прогулки, красивые места, культура, мастер-классы, сувениры, гид
25;Экскурсионный тур по Камчатке;Россия;Камчатка;4;105000;1;компания друзей, семья с детьми, соло, пара;зима;отель;True;экскурсии, история, культура, вулканы, природа, гейзеры, бухты, океан, красивые места, хайкинг, вертолетные туры, этнография, рыбалка, гид
26;Выходные на Камчатке;Россия;Камчатка;3;93000;1;соло, компания друзей, семья с детьми, пара;осень, весна;отель;True;вулканы, история, природа, пешие прогулки, океан, бухты, скалы, красивые места, наблюдение медведей, термальные источники, пейзажи, экскурсии, гид
27;Романтический уикенд на Камчатку;Россия;Камчатка;3;95000;2;пара;лето, весна;отель, глэмпинг;False;романтический, вулканы, релакс, природа, океан, закаты, бухты, дикие пляжи, красивые места, горячие источники, уединение, авиапрогулки, пейзажи
28;Выходные в Сочи;Россия;Сочи;3;70000;1;соло, компания друзей, семья с детьми, пара;весна, лето;отель;True;архитектура, история, городской, море, пляж, парки, олимпийские объекты, набережная, экскурсии, дельфинарий, красивые места, кафе, ночная жизнь
29;Семейный отдых в Сочи;Россия;Сочи;5;65000;3;семья с детьми;лето;отель, гостевой дом;False;семейный, релакс, природа, море, пляж, аквапарк, дельфинарий, парки, аттракционы, детские площадки, спокойный отдых, прогулки, красивые места
30;Экстрим в Сочи;Россия;Сочи;6;100000;4;компания друзей;лето;палатка, глэмпинг;True;экстрим, активный отдых, природа, трекинг, горы, рафтинг, скалолазание, джиппинг, водопады, каньоны, параплан, кемпинг, красивые места, гид
31;Остров Чеджу;Южная Корея;;7;170000;1;компания друзей, пара, соло;лето;глэмпинг, гостевой дом;True;релакс, природа, экологичный, пляж, культура, экскурсии, история, вулканы, водопады, пешие прогулки, хайкинг, цветение, красивые места, корейская кухня, гид
32;Пляжный отдых в Турции;Турция;;8;90000;1;компания друзей, семья с детьми, соло, пара;осень, весна, лето;отель;False;релакс, пляж, природа, шопинг, море, всё включено, аквапарк, водные виды спорта, закаты, вечерние шоу, ночная жизнь, турецкая кухня, спа, красивые места
